experiment_id,experiment_name,user_id,account_id,assigned_at,variant
exp_acct_00000001,onboarding_ai_tooltip,usr_00000001,acct_00000001,2025-01-19 14:08:44,variant_b
exp_acct_00000001,onboarding_ai_tooltip,usr_00000002,acct_00000001,2025-01-11 12:30:34,control
exp_acct_00000001,onboarding_ai_tooltip,usr_00000003,acct_00000001,2025-01-11 14:34:00,control
exp_acct_00000001,onboarding_ai_tooltip,usr_00000004,acct_00000001,2025-01-19 12:12:26,variant_b
exp_acct_00000001,onboarding_ai_tooltip,usr_00000005,acct_00000001,2025-01-11 17:47:34,control
exp_acct_00000001,onboarding_ai_tooltip,usr_00000006,acct_00000001,2025-01-12 07:09:03,control
exp_acct_00000001,onboarding_ai_tooltip,usr_00000007,acct_00000001,2025-01-13 14:44:50,control
exp_acct_00000001,onboarding_ai_tooltip,usr_00000008,acct_00000001,2025-01-26 14:15:47,control
exp_acct_00000001,onboarding_ai_tooltip,usr_00000009,acct_00000001,2025-01-07 17:46:02,control
exp_acct_00000001,onboarding_ai_tooltip,usr_00000010,acct_00000001,2025-01-07 19:17:37,control
exp_acct_00000001,onboarding_ai_tooltip,usr_00000011,acct_00000001,2025-01-26 08:15:10,variant_b
exp_acct_00000001,onboarding_ai_tooltip,usr_00000012,acct_00000001,2025-01-27 14:46:12,control
exp_acct_00000001,onboarding_ai_tooltip,usr_00000013,acct_00000001,2025-01-07 08:33:09,control
exp_acct_00000001,onboarding_ai_tooltip,usr_00000014,acct_00000001,2025-01-21 12:49:39,variant_b
exp_acct_00000001,onboarding_ai_tooltip,usr_00000015,acct_00000001,2025-01-05 08:33:42,variant_b
exp_acct_00000001,onboarding_ai_tooltip,usr_00000016,acct_00000001,2025-01-24 16:16:03,variant_b
exp_acct_00000001,onboarding_ai_tooltip,usr_00000017,acct_00000001,2025-01-24 07:52:39,control
exp_acct_00000001,onboarding_ai_tooltip,usr_00000018,acct_00000001,2025-01-08 15:42:15,variant_b
exp_acct_00000001,onboarding_ai_tooltip,usr_00000019,acct_00000001,2025-01-23 09:34:38,variant_b
exp_acct_00000001,onboarding_ai_tooltip,usr_00000020,acct_00000001,2025-01-13 14:28:25,control
exp_acct_00000002,onboarding_ai_tooltip,usr_00000021,acct_00000002,2025-01-24 16:09:06,control
exp_acct_00000002,onboarding_ai_tooltip,usr_00000022,acct_00000002,2025-01-21 18:44:36,control
exp_acct_00000002,onboarding_ai_tooltip,usr_00000023,acct_00000002,2025-01-17 13:26:59,variant_b
exp_acct_00000002,onboarding_ai_tooltip,usr_00000024,acct_00000002,2025-01-27 18:25:28,control
exp_acct_00000002,onboarding_ai_tooltip,usr_00000025,acct_00000002,2025-01-08 13:32:27,variant_b
exp_acct_00000002,onboarding_ai_tooltip,usr_00000026,acct_00000002,2025-01-17 12:12:20,control
exp_acct_00000002,onboarding_ai_tooltip,usr_00000027,acct_00000002,2025-01-27 12:09:48,control
exp_acct_00000002,onboarding_ai_tooltip,usr_00000028,acct_00000002,2025-01-12 10:34:33,variant_b
exp_acct_00000002,onboarding_ai_tooltip,usr_00000029,acct_00000002,2025-01-14 09:03:18,control
exp_acct_00000002,onboarding_ai_tooltip,usr_00000030,acct_00000002,2025-01-18 15:45:06,control
exp_acct_00000002,onboarding_ai_tooltip,usr_00000031,acct_00000002,2025-01-21 13:47:10,control
exp_acct_00000002,onboarding_ai_tooltip,usr_00000032,acct_00000002,2025-01-26 11:56:24,variant_b
exp_acct_00000003,onboarding_ai_tooltip,usr_00000033,acct_00000003,2025-01-19 09:27:19,control
exp_acct_00000003,onboarding_ai_tooltip,usr_00000034,acct_00000003,2025-01-05 13:58:49,control
exp_acct_00000003,onboarding_ai_tooltip,usr_00000035,acct_00000003,2025-01-14 11:28:47,control
exp_acct_00000003,onboarding_ai_tooltip,usr_00000036,acct_00000003,2025-01-20 10:14:43,control
exp_acct_00000003,onboarding_ai_tooltip,usr_00000037,acct_00000003,2025-01-13 14:30:08,variant_b
exp_acct_00000003,onboarding_ai_tooltip,usr_00000038,acct_00000003,2025-01-03 09:59:28,control
exp_acct_00000003,onboarding_ai_tooltip,usr_00000039,acct_00000003,2025-01-13 16:47:36,variant_b
exp_acct_00000003,onboarding_ai_tooltip,usr_00000040,acct_00000003,2025-01-13 15:48:40,variant_b
exp_acct_00000003,onboarding_ai_tooltip,usr_00000041,acct_00000003,2025-01-15 17:28:05,variant_b
exp_acct_00000003,onboarding_ai_tooltip,usr_00000042,acct_00000003,2025-01-09 12:44:41,control
exp_acct_00000003,onboarding_ai_tooltip,usr_00000043,acct_00000003,2025-01-13 15:24:02,variant_b
exp_acct_00000003,onboarding_ai_tooltip,usr_00000044,acct_00000003,2025-01-10 17:11:07,variant_b
exp_acct_00000003,onboarding_ai_tooltip,usr_00000045,acct_00000003,2025-01-15 08:38:38,variant_b
exp_acct_00000003,onboarding_ai_tooltip,usr_00000046,acct_00000003,2025-01-11 08:03:06,variant_b
exp_acct_00000003,onboarding_ai_tooltip,usr_00000047,acct_00000003,2025-01-12 13:52:04,control
exp_acct_00000003,onboarding_ai_tooltip,usr_00000048,acct_00000003,2025-01-02 08:36:46,variant_b
exp_acct_00000003,onboarding_ai_tooltip,usr_00000049,acct_00000003,2025-01-21 14:31:51,variant_b
exp_acct_00000003,onboarding_ai_tooltip,usr_00000050,acct_00000003,2025-01-26 16:26:26,control
exp_acct_00000003,onboarding_ai_tooltip,usr_00000051,acct_00000003,2025-01-11 19:00:07,variant_b
exp_acct_00000004,onboarding_ai_tooltip,usr_00000052,acct_00000004,2025-02-07 19:02:41,variant_b
exp_acct_00000004,onboarding_ai_tooltip,usr_00000053,acct_00000004,2025-02-08 11:36:46,variant_b
exp_acct_00000004,onboarding_ai_tooltip,usr_00000054,acct_00000004,2025-02-11 13:11:38,variant_b
exp_acct_00000004,onboarding_ai_tooltip,usr_00000055,acct_00000004,2025-02-16 10:58:05,variant_b
exp_acct_00000004,onboarding_ai_tooltip,usr_00000056,acct_00000004,2025-01-29 18:02:29,control
exp_acct_00000004,onboarding_ai_tooltip,usr_00000057,acct_00000004,2025-01-29 10:18:17,control
exp_acct_00000004,onboarding_ai_tooltip,usr_00000058,acct_00000004,2025-01-28 08:19:39,control
exp_acct_00000004,onboarding_ai_tooltip,usr_00000059,acct_00000004,2025-02-11 12:19:21,variant_b
exp_acct_00000004,onboarding_ai_tooltip,usr_00000060,acct_00000004,2025-01-25 19:58:44,variant_b
exp_acct_00000004,onboarding_ai_tooltip,usr_00000061,acct_00000004,2025-02-06 14:01:04,control
exp_acct_00000004,onboarding_ai_tooltip,usr_00000062,acct_00000004,2025-02-02 15:41:04,control
exp_acct_00000004,onboarding_ai_tooltip,usr_00000063,acct_00000004,2025-02-17 13:36:50,variant_b
exp_acct_00000004,onboarding_ai_tooltip,usr_00000064,acct_00000004,2025-02-11 19:52:24,control
exp_acct_00000004,onboarding_ai_tooltip,usr_00000065,acct_00000004,2025-02-09 11:24:39,control
exp_acct_00000004,onboarding_ai_tooltip,usr_00000066,acct_00000004,2025-01-25 16:00:39,control
exp_acct_00000004,onboarding_ai_tooltip,usr_00000067,acct_00000004,2025-02-14 16:25:40,variant_b
exp_acct_00000004,onboarding_ai_tooltip,usr_00000068,acct_00000004,2025-01-23 08:41:01,variant_b
exp_acct_00000004,onboarding_ai_tooltip,usr_00000069,acct_00000004,2025-02-11 09:29:32,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000070,acct_00000005,2025-02-21 07:02:36,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000071,acct_00000005,2025-02-24 15:05:33,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000072,acct_00000005,2025-03-06 07:30:29,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000073,acct_00000005,2025-03-04 16:47:19,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000074,acct_00000005,2025-02-12 09:32:04,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000075,acct_00000005,2025-03-07 09:16:50,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000076,acct_00000005,2025-02-22 10:42:28,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000077,acct_00000005,2025-02-17 13:43:45,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000078,acct_00000005,2025-02-13 15:40:22,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000079,acct_00000005,2025-02-20 17:44:11,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000080,acct_00000005,2025-03-02 08:45:07,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000081,acct_00000005,2025-02-19 14:42:59,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000082,acct_00000005,2025-02-15 14:04:31,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000083,acct_00000005,2025-03-06 14:01:57,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000084,acct_00000005,2025-03-06 14:30:27,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000085,acct_00000005,2025-02-27 12:05:53,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000086,acct_00000005,2025-02-25 08:56:40,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000087,acct_00000005,2025-02-10 07:21:03,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000088,acct_00000005,2025-02-12 07:47:09,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000089,acct_00000005,2025-02-24 16:10:53,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000090,acct_00000005,2025-02-20 08:43:36,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000091,acct_00000005,2025-02-28 07:08:06,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000092,acct_00000005,2025-02-23 18:51:50,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000093,acct_00000005,2025-02-21 13:00:35,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000094,acct_00000005,2025-02-18 07:12:07,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000095,acct_00000005,2025-02-11 08:47:03,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000096,acct_00000005,2025-03-03 12:14:49,control
exp_acct_00000005,onboarding_ai_tooltip,usr_00000097,acct_00000005,2025-02-14 10:59:39,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000098,acct_00000005,2025-02-15 19:21:14,variant_b
exp_acct_00000005,onboarding_ai_tooltip,usr_00000099,acct_00000005,2025-02-25 14:17:00,control
exp_acct_00000006,onboarding_ai_tooltip,usr_00000100,acct_00000006,2025-01-16 07:30:46,control
exp_acct_00000006,onboarding_ai_tooltip,usr_00000101,acct_00000006,2025-01-17 15:48:00,control
exp_acct_00000006,onboarding_ai_tooltip,usr_00000102,acct_00000006,2025-02-02 18:37:01,variant_b
exp_acct_00000006,onboarding_ai_tooltip,usr_00000103,acct_00000006,2025-02-08 11:44:39,control
exp_acct_00000006,onboarding_ai_tooltip,usr_00000104,acct_00000006,2025-01-18 13:23:29,variant_b
exp_acct_00000006,onboarding_ai_tooltip,usr_00000105,acct_00000006,2025-02-07 19:14:20,control
exp_acct_00000006,onboarding_ai_tooltip,usr_00000106,acct_00000006,2025-01-29 16:23:51,variant_b
exp_acct_00000006,onboarding_ai_tooltip,usr_00000107,acct_00000006,2025-01-31 17:01:18,control
exp_acct_00000006,onboarding_ai_tooltip,usr_00000108,acct_00000006,2025-02-02 12:41:41,variant_b
exp_acct_00000006,onboarding_ai_tooltip,usr_00000109,acct_00000006,2025-01-26 11:29:10,control
exp_acct_00000007,onboarding_ai_tooltip,usr_00000110,acct_00000007,2025-02-21 12:11:13,control
exp_acct_00000007,onboarding_ai_tooltip,usr_00000111,acct_00000007,2025-02-27 12:09:00,variant_b
